"player_id";"last_known_name";"last_known_tag";"affiliation";"server";"enemy";"date_last_known";"discord";"city";"discord_server";"last_city";"last_seen_by";"enemy_updated";"updated_by";"history";"additional";"player_image"
"7745917";"CommanderJames67";"PHAK [ex-WDWw]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"07/05/2022 00:00:00";"WDWw - WodinsWarriors / ALLIES: WDCG, WDW2, WDW3, WDTR, FWrr, PACB, 101a, 101D, ASGARD, P2W, SNOW, GOP, WDw8, WDw9";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7749076";"KotvaCZE";"Phak";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7755315";"Ratelflam";"PHAK [ex-WDWw]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"07/05/2022 00:00:00";"WDWw - WodinsWarriors / ALLIES: WDCG, WDW2, WDW3, WDTR, FWrr, PACB, 101a, 101D, ASGARD, P2W, SNOW, GOP, WDw8, WDw9";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7755881";"Ironmike69";"PHAK [ex-WDEA/OPEA]";"ArmiaKrajowa / PH FAMILY /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"09/05/2022 00:00:00";"WDEA [ex-OPEA] - European_Army / FAMILY: WD FAMILY / FORMER OPEA FAMILY, ex OPDE";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7757153";"CommandoMichal";"PHAK [ex-WDEA]";"ArmiaKrajowa / PH FAMILY /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"09/05/2022 00:00:00";"WDEA - European_Army / Family: WD FAMILY";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7757564";"Martinjiro";"Phak";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7757985";"Waldgänger";"PHAK [ex-WDEA/OPEA]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";"Tallinn Resource Minister";;;;;"09/05/2022 00:00:00";"MUSC_STEPPENWOLF - PHAK / R2 - PHAK - PH Family / PH Family Coalition - Allies";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7768322";"CiezkaBania";"Phak [ex-OMC][R4]";"ArmiaKrajowa /AK_ACADEMY / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";"OMC - ArmiaKrajowa / THERE IS NO DATA ON ALLIES OR FAMILY / IT IS SUSPECTED TO BE A SvAK BUILDING ALLIANCE OR HER SECOND ALLIANCE.";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7770876";"SpaceCowboy-OP";"PHAK [ex-~DS~ /WDSY/OPAS/SYN]";"A-TEAM / [FAMILY] PH-BE4R-PHAK [ALLIES] BERX-AAA1-AAA5-AAA6-AAA7-ASHY-#WAR";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/06/2022 00:00:00";"~DS~ [ex-WDSY/OPAS/SYN] - HitSquad / PH FAMILY / - SpaceCowboy-OP - PHAK [ex-~DS~ /WDSY/OPAS/SYN] - ArmiaKrajowa / PH FAMILY /";"// [ CHANGE YOUR NAME TO ][ [SYN]SpaceCowboy ] //";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7772217";"Almel0546";"PHAK [ex-I-]";"***-- CAUTION --***";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"23/05/2022 00:00:00";"-I- - Irreductible / FAMILY: ASGARD, HARM / ALLIES: WD01 / NAP: PW17, P2W0, AAA - Almel0546 - PHAK [ex-I-] - ArmiaKraowa / FAMILY: PH FAMILY";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
